val_precision,val_recall,val_f1,val_accuracy,val_avg_loss,epoch,step,avg_train_loss,test_precision,test_recall,test_f1,test_accuracy,test_avg_loss,test_num_samples,test_date_f1,test_person_f1,test_task_f1,test_date_prec,test_person_prec,test_task_prec,test_date_rec,test_person_rec,test_task_rec
0.7902901768684387,0.8619716167449951,0.8245760202407837,0.855999767780304,0.33031171560287476,0,497,,,,,,,,,,,,,,,,
,,,,,0,497,0.011715582571923733,,,,,,,,,,,,,,,
0.7874990701675415,0.8692556619644165,0.8263601064682007,0.8587716221809387,0.3593475818634033,1,995,,,,,,,,,,,,,,,,
,,,,,1,995,6.633482553297654e-05,,,,,,,,,,,,,,,
0.8097977638244629,0.8986577987670898,0.8519168496131897,0.8791748881340027,0.2741891145706177,2,1493,,,,,,,,,,,,,,,,
,,,,,2,1493,2.5985580577980727e-05,,,,,,,,,,,,,,,
0.8081243634223938,0.893460750579834,0.848652720451355,0.8647079467773438,0.3481079936027527,3,1991,,,,,,,,,,,,,,,,
,,,,,3,1991,1.6048566976678558e-05,,,,,,,,,,,,,,,
0.8084986805915833,0.882923424243927,0.8440736532211304,0.8623866438865662,0.37873759865760803,4,2489,,,,,,,,,,,,,,,,
,,,,,4,2489,9.150669939117506e-06,,,,,,,,,,,,,,,
0.8097977638244629,0.8986577987670898,0.8519168496131897,0.8791748881340027,0.2741891145706177,5,2490,,,,,,,,,,,,,,,,
,,,,,5,2490,,0.8448252081871033,0.9024665355682373,0.8726951479911804,0.9177451133728027,0.18629813194274902,44982.0,0.8073257803916931,0.9875181913375854,0.8074621558189392,0.7513291239738464,0.9880309700965881,0.7748712301254272,0.872341513633728,0.987005889415741,0.8429149389266968
